Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
277810,KR7277810008,레인보우로보틱스,KOSDAQ,기술성장기업부,616000,2,-44000,-6.67,680000,682000,610000,150265,95788156500,11950312528000,19399858,KSQ
005940,KR7005940002,NH투자증권,KOSPI,,32850,1,150,0.46,32700,33600,32550,994946,32895869100,11705912521650,356344369,STK
323410,KR7323410001,카카오뱅크,KOSPI,,24150,1,350,1.47,23800,24600,23800,1001503,24320119200,11522458553550,477120437,STK
047050,KR7047050000,포스코인터내셔널,KOSPI,,65300,1,5400,9.02,60000,66500,58800,1863824,120521367000,11487758056400,175922788,STK
443060,KR7443060009,HD현대마린솔루션,KOSPI,,255500,1,500,0.2,254500,262000,250500,77782,19922352500,11454949030000,44833460,STK
0126Z0,KR70126Z0002,삼성에피스홀딩스,KOSPI,,453500,1,2000,0.44,453000,458000,441500,29674,13343538250,11284462721500,24883049,STK
047040,KR7047040001,대우건설,KOSPI,,27450,1,4550,19.87,23150,28750,22300,47878770,1296739199575,11279414663100,410907638,STK
016360,KR7016360000,삼성증권,KOSPI,,124600,1,2100,1.71,122500,126700,121000,799001,99828783500,11126780000000,89300000,STK
028050,KR7028050003,삼성E&A,KOSPI,,56700,1,4600,8.83,52500,58800,51600,6517028,365497909250,11113200000000,196000000,STK
259960,KR7259960003,크래프톤,KOSPI,,237000,1,500,0.21,237000,243000,236500,113991,27195392750,10934467341000,46136993,STK
003490,KR7003490000,대한항공,KOSPI,,29300,2,-700,-2.33,29500,29700,28500,2990603,87266123750,10788865367300,368220661,STK
036930,KR7036930006,주성엔지니어링,KOSDAQ GLOBAL,우량기업부,226500,1,1500,0.67,227500,240000,218000,2213413,503719352000,10527973906500,46481121,KSQ
039490,KR7039490008,키움증권,KOSPI,,390000,1,22500,6.12,373500,398000,373000,380345,149113765750,10229043240000,26228316,STK
005830,KR7005830005,DB손해보험,KOSPI,,153400,1,1000,0.66,151700,155700,149800,234469,35971616550,10047753536600,65500349,STK
352820,KR7352820005,하이브,KOSPI,,223000,1,4500,2.06,219000,224000,218500,128745,28563581250,9611801527000,43102249,STK
007660,KR7007660004,이수페타시스,KOSPI,,123000,1,4100,3.45,122200,127000,120000,1176420,145362137600,9029333937000,73409219,STK
064400,KR7064400005,LG씨엔에스,KOSPI,,92900,2,-3700,-3.83,98200,98200,92200,1015967,95267631650,9000704569200,96885948,STK
950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),105100,1,300,0.29,106000,108200,101900,215064,22477255900,8905758855000,84736050,KSQ
005387,KR7005382007,현대차2우B,KOSPI,,253000,2,-4000,-1.56,257000,257500,252000,86779,22030218750,8845874290000,34963930,STK
000880,KR7000880005,한화,KOSPI,,125300,1,5100,4.24,123800,130200,123500,200753,25555184900,8834642250700,70507919,STK
161390,KR7161390000,한국타이어앤테크놀로지,KOSPI,,71000,2,-2500,-3.4,74000,74100,70600,362553,26001345300,8795129899000,123875069,STK
003230,KR7003230000,삼양식품,KOSPI,,1143000,1,4000,0.35,1147000,1189000,1130000,37402,43220338500,8610236145000,7533015,STK
180640,KR7180640005,한진칼,KOSPI,,127900,2,-200,-0.16,126900,130200,125400,82115,10492902900,8538895484100,66762279,STK
353200,KR7353200009,대덕전자,KOSPI,,169900,1,2200,1.31,172600,177800,164200,925477,157975929300,8395935557500,49416925,STK
001440,KR7001440007,대한전선,KOSPI,,40700,1,750,1.88,41100,42275,38800,3702359,151153238725,7976898657200,195992596,STK
062040,KR7062040001,산일전기,KOSPI,,254000,1,3000,1.2,261000,261500,247500,251049,63959624500,7776425900000,30615850,STK
